Player,AuctionPrice,AcquisitionType
A Badoni (LSG),4.0,Retained
A Kamboj (CSK),3.4,Retained
A Madhwal (RR),0.0,Unknown
A Manohar (SRH),0.0,Unknown
A Mhatre (CSK),0.3,Retained
A Raghuvanshi (KKR),3.0,Retained
A Taide (SRH),0.0,Unknown
A Zampa (SRH),0.0,Unknown
AD Russell (KKR),0.0,Unknown
AK Markram (LSG),2.0,Retained
AM Rahane (KKR),1.5,Retained
AR Patel (DC),16.5,Retained
AR Sharma (DC),3.8,Retained
AS Roy (KKR),0.4,Retained
AU Verma (SRH),0.3,Retained
Abdul Samad (LSG),4.2,Retained
Abhishek Sharma (SRH),14.0,Retained
Abishek Porel (DC),4.0,Retained
Akash Deep (LSG),1.0,Bought
Akash Singh (LSG),0.3,Retained
Arshad Khan (GT),1.3,Retained
Arshdeep Singh (PBKS),18.0,Retained
Ashwani Kumar (MI),0.3,Retained
Avesh Khan (LSG),9.8,Retained
Azmatullah Omarzai (PBKS),2.4,Retained
B Kumar (RCB),10.8,Retained
B Sai Sudharsan (GT),8.5,Retained
BKG Mendis (GT),0.8,Retained
C Bosch (MI),0.8,Retained
CV Varun (KKR),12.0,Retained
D Brevis (CSK),2.2,Retained
D Padikkal (RCB),2.0,Retained
DA Miller (LSG),2.0,Bought
DC Jurel (RR),14.0,Retained
DJ Hooda (CSK),0.0,Unknown
DL Chahar (MI),9.2,Retained
DP Conway (CSK),0.0,Unknown
DS Rathi (LSG),0.3,Retained
E Malinga (SRH),1.2,Retained
F du Plessis (DC),0.0,Unknown
Fazalhaq Farooqi (RR),0.0,Unknown
G Coetzee (GT),0.0,Unknown
GJ Maxwell (PBKS),0.0,Unknown
H Klaasen (SRH),23.0,Retained
HH Pandya (MI),16.4,Retained
HS Dubey (SRH),0.3,Retained
HV Patel (SRH),8.0,Retained
Harpreet Brar (PBKS),1.5,Retained
Harshit Rana (KKR),4.0,Retained
I Sharma (GT),0.8,Retained
Ishan Kishan (SRH),11.2,Retained
J Fraser-McGurk (DC),0.0,Unknown
J Overton (CSK),1.5,Retained
JC Archer (RR),12.5,Retained
JC Buttler (GT),15.8,Retained
JD Unadkat (SRH),1.0,Retained
JG Bethell (RCB),2.6,Retained
JJ Bumrah (MI),18.0,Retained
JM Bairstow (MI),0.0,Unknown
JM Sharma (RCB),11.0,Retained
JP Inglis (PBKS),8.6,Bought
JR Hazlewood (RCB),12.5,Retained
K Kartikeya (RR),0.0,Unknown
K Khejroliya (GT),0.0,Unknown
K Nitish Kumar Reddy (SRH),6.0,Retained
K Rabada (GT),10.8,Retained
KA Jamieson (PBKS),2.0,Bought
KH Pandya (RCB),5.8,Retained
KK Ahmed (CSK),4.8,Retained
