Player,WinningTeam,WinningBid
Jasprit Bumrah,MI,24.0
Varun Chakravarthy,MI,22.4
Travis Head,MI,20.6
Kuldeep Yadav,MI,19.8
Nicholas Pooran,MI,19.7
Noor Ahmad,RR,18.3
Ruturaj Gaikwad,RCB,16.8
Sanju Samson,CSK,16.6
Virat Kohli,CSK,15.8
Sunil Narine,CSK,13.5
Arshdeep Singh,KKR,13.5
Matheesha Pathirana,RR,13.6
T Natarajan,CSK,12.1
Shubman Gill,RR,12.6
Ravi Bishnoi,RR,12.3
Mohammed Shami,CSK,11.7
KL Rahul,CSK,11.5
Yashasvi Jaiswal,RR,11.5
Kagiso Rabada,CSK,10.7
Rashid Khan,GT,9.7
Tilak Varma,RR,10.1
Abhishek Sharma,RR,10.0
Shreyas Iyer,CSK,9.2
Yuzvendra Chahal,KKR,8.7
Mohammed Siraj,KKR,8.6
Avesh Khan,KKR,8.5
Ishan Kishan,LSG,8.0
Trent Boult,KKR,7.9
Rinku Singh,RCB,7.7
Harshal Patel,KKR,7.5
Mitchell Starc,KKR,7.1
Pat Cummins,GT,6.7
Cameron Green,GT,6.6
Jos Buttler,LSG,6.5
Axar Patel,GT,6.3
Rohit Sharma,RCB,6.4
Suryakumar Yadav,RCB,6.3
Sam Curran,GT,6.0
Gerald Coetzee,RR,6.0
Bhuvneshwar Kumar,KKR,4.9
Washington Sundar,GT,4.7
Andre Russell,GT,4.2
Mukesh Kumar,MI,2.7
Liam Livingstone,GT,2.9
Hardik Pandya,PBKS,2.5
Ravindra Jadeja,PBKS,2.3
Mitchell Marsh,PBKS,2.2
Glenn Maxwell,PBKS,1.4
Nitish Kumar Reddy,PBKS,0.1
Marcus Stoinis,MI,0.0
