Player,Team,Age,Nationality,Mat,Inns,Not Outs,Runs,Highest Score,Batting Average,Balls Faced,SR,100,50,0,4s,6s
A Badoni (LSG),LSG,25,India,14,11,1,329,74,32.9,222,148.19,0,2,0,27,14
A Kamboj (CSK),CSK,24,India,8,5,3,14,5*,7,12,116.66,0,0,1,2,0
A Madhwal (RR),RR,31,India,4,1,1,4,4*,-,9,44.44,0,0,0,0,0
A Manohar (SRH),SRH,30,India,8,5,0,61,43,12.2,61,100,0,0,1,2,4
A Mhatre (CSK),CSK,17,India,7,7,0,240,94,34.28,127,188.97,0,1,1,31,11
A Raghuvanshi (KKR),KKR,20,India,12,11,2,300,50,33.33,215,139.53,0,1,0,30,8
A Taide (SRH),SRH,24,Sri Lanka,1,1,0,13,13,13,9,144.44,0,0,0,3,0
Abdul Samad (LSG),LSG,23,Australia,13,12,4,164,45,20.5,93,176.34,0,0,0,8,14
Abhishek Sharma (SRH),SRH,24,India,14,13,0,439,141,33.76,227,193.39,1,2,1,46,28
Abishek Porel (DC),DC,22,India,13,13,1,301,51,25.08,205,146.82,0,1,1,28,12
AD Russell (KKR),KKR,36,India,13,10,1,167,57*,18.55,102,163.72,0,1,1,16,14
AK Markram (LSG),LSG,30,South Africa,13,13,0,445,66,34.23,299,148.82,0,5,0,38,22
Akash Deep (LSG),LSG,28,India,6,2,1,6,6*,6,2,300,0,0,1,0,1
AM Rahane (KKR),KKR,36,India,13,12,1,390,61,35.45,264,147.72,0,3,0,36,20
AR Patel (DC),DC,31,India,12,11,1,263,43,26.3,167,157.48,0,0,0,23,15
AR Sharma (DC),DC,26,South Africa,13,9,2,204,66*,29.14,127,160.62,0,1,0,14,13
Arshad Khan (GT),GT,27,India,9,5,3,23,20,11.5,19,121.05,0,0,0,0,3
Arshdeep Singh (PBKS),PBKS,26,India,17,2,1,2,1*,2,6,33.33,0,0,0,0,0
AU Verma (SRH),SRH,23,India,14,12,3,236,74,26.22,142,166.19,0,1,0,12,20
Avesh Khan (LSG),LSG,28,South Africa,13,4,3,21,19*,21,12,175,0,0,1,3,1
Azmatullah Omarzai (PBKS),PBKS,25,Australia,9,5,1,57,21*,14.25,41,139.02,0,0,0,6,3
B Kumar (RCB),RCB,35,Australia,14,6,3,14,8,4.66,25,56,0,0,0,1,0
B Sai Sudharsan (GT),GT,23,India,15,15,1,759,108*,54.21,486,156.17,1,6,0,88,21
BKG Mendis (GT),GT,30,South Africa,1,1,0,20,20,20,10,200,0,0,0,1,2
C Bosch (MI),MI,30,India,3,2,0,47,27,23.5,32,146.87,0,0,0,3,3
CV Varun (KKR),KKR,33,India,13,1,1,1,1*,-,1,100,0,0,0,0,0
D Brevis (CSK),CSK,21,South Africa,6,6,0,225,57,37.5,125,180,0,2,1,13,17
D Padikkal (RCB),RCB,24,India,10,10,1,247,61,27.44,164,150.6,0,2,1,21,14
