Player,Team,Age,Nationality,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Best Innings Bowling,Ave,Econ,SR,4,5
A Badoni (LSG),LSG,25,India,14,2,10,1.4,0,13,2,2/4,6.5,7.8,5,0,0
A Kamboj (CSK),CSK,24,India,8,8,129,21.3,0,172,8,3/13,21.5,8,16.12,0,0
A Madhwal (RR),RR,31,India,4,4,90,15,0,166,4,3/29,41.5,11.06,22.5,0,0
A Zampa (SRH),SRH,33,Australia,2,2,48,8,0,94,2,1/46,47,11.75,24,0,0
AD Russell (KKR),KKR,36,West Indies,13,9,109,18.1,0,217,8,2/21,27.12,11.94,13.62,0,0
AK Markram (LSG),LSG,30,South Africa,13,5,66,11,0,102,4,2/30,25.5,9.27,16.5,0,0
Akash Deep (LSG),LSG,28,India,6,6,114,19,0,229,3,2/55,76.33,12.05,38,0,0
Akash Singh (LSG),LSG,22,India,3,3,67,11.1,0,99,4,2/30,24.75,8.86,16.75,0,0
AR Patel (DC),DC,31,India,12,11,204,34,0,288,5,2/19,57.6,8.47,40.8,0,0
Arshad Khan (GT),GT,27,India,9,9,126,21,0,217,6,1/7,36.16,10.33,21,0,0
Arshdeep Singh (PBKS),PBKS,26,India,17,16,350,58.2,1,518,21,3/16,24.66,8.88,16.66,0,0
AS Roy (KKR),KKR,26,India,1,1,24,4,0,27,1,1/27,27,6.75,24,0,0
Ashwani Kumar (MI),MI,23,India,7,7,123,20.3,0,232,11,4/24,21.09,11.31,11.18,1,0
Avesh Khan (LSG),LSG,28,India,13,13,284,47.2,0,487,13,3/37,37.46,10.28,21.84,0,0
Azmatullah Omarzai (PBKS),PBKS,25,Afghanistan,9,8,162,27,0,279,8,2/33,34.87,10.33,20.25,0,0
B Kumar (RCB),RCB,35,India,14,14,312,52,0,483,17,3/33,28.41,9.28,18.35,0,0
C Bosch (MI),MI,30,South Africa,3,2,42,7,0,55,1,1/26,55,7.85,42,0,0
CV Varun (KKR),KKR,33,India,13,13,300,50,0,383,17,3/22,22.52,7.66,17.64,0,0
DL Chahar (MI),MI,32,India,14,14,246,41,1,376,11,2/12,34.18,9.17,22.36,0,0
DS Rathi (LSG),LSG,25,India,13,13,312,52,0,429,14,2/30,30.64,8.25,22.28,0,0
E Malinga (SRH),SRH,24,Sri Lanka,7,7,160,26.4,0,238,13,3/31,18.3,8.92,12.3,0,0
G Coetzee (GT),GT,24,South Africa,4,4,72,12,0,131,2,1/10,65.5,10.91,36,0,0
GJ Maxwell (PBKS),PBKS,36,Australia,7,6,78,13,0,110,4,1/5,27.5,8.46,19.5,0,0
Harpreet Brar (PBKS),PBKS,29,India,8,7,132,22,0,190,10,3/22,19,8.63,13.2,0,0
Harshit Rana (KKR),KKR,23,India,13,13,264,44,0,448,15,3/25,29.86,10.18,17.6,0,0
HH Pandya (MI),MI,31,India,15,14,210,35,0,342,14,5/36,24.42,9.77,15,0,1
HS Dubey (SRH),SRH,22,India,3,3,60,10,0,98,5,3/34,19.6,9.8,12,0,0
HV Patel (SRH),SRH,34,India,13,13,263,43.5,0,430,16,4/28,26.87,9.8,16.43,2,0
I Sharma (GT),GT,36,India,7,7,110,18.2,0,205,4,1/18,51.25,11.18,27.5,0,0
JC Archer (RR),RR,30,England,12,12,273,45.3,1,431,11,3/25,39.18,9.47,24.81,0,0
JD Unadkat (SRH),SRH,33,India,7,7,143,23.5,0,175,11,3/24,15.9,7.34,13,0,0
JJ Bumrah (MI),MI,31,India,12,12,284,47.2,0,316,18,4/22,17.55,6.67,15.77,1,0
JR Hazlewood (RCB),RCB,34,Australia,12,12,264,44,0,386,22,4/33,17.54,8.77,12,1,0
K Kartikeya (RR),RR,27,India,4,4,48,8,0,78,2,1/21,39,9.75,24,0,0
K Khejroliya (GT),GT,33,India,1,1,18,3,0,29,1,1/29,29,9.66,18,0,0
K Nitish Kumar Reddy (SRH),SRH,21,India,13,3,30,5,0,47,2,1/13,23.5,9.4,15,0,0
K Rabada (GT),GT,29,South Africa,4,4,84,14,0,162,2,1/41,81,11.57,42,0,0
KA Jamieson (PBKS),PBKS,30,New Zealand,4,4,90,15,1,147,5,3/48,29.4,9.8,18,0,0
KH Pandya (RCB),RCB,34,India,15,15,276,46,0,379,17,4/45,22.29,8.23,16.23,1,0
KK Ahmed (CSK),CSK,27,India,14,14,280,46.4,0,447,15,3/29,29.8,9.57,18.66,0,0
KT Maphaka (RR),RR,18,South Africa,2,2,30,5,0,54,1,1/32,54,10.8,30,0,0
Kuldeep Yadav (DC),DC,30,India,14,13,306,51,0,361,15,3/22,24.06,7.07,20.4,0,0
KV Sharma (MI),MI,37,India,6,5,90,15,0,128,7,3/23,18.28,8.53,12.85,0,0
L Ngidi (RCB),RCB,29,South Africa,2,2,48,8,0,81,4,3/30,20.25,10.12,12,0,0
