Player,Team,Age,Nationality,Runs,BattingAverage,StrikeRate,100s,50s,Wickets,BowlingAverage,Economy,Role,AuctionPrice,AcquisitionType
A Badoni (LSG),LSG,25,India,329,32.9,148.19,0,2,2,6.5,7.8,Batsman,4.0,Retained
A Kamboj (CSK),CSK,24,India,14,7,116.66,0,0,8,21.5,8,Bowler,3.4,Retained
A Madhwal (RR),RR,31,India,4,-,44.44,0,0,4,41.5,11.06,Bowler,N/A,Replacement
A Manohar (SRH),SRH,30,India,61,12.2,100,0,0,0,0,0,Batsman,N/A,Unsold
A Mhatre (CSK),CSK,17,India,240,34.28,188.97,0,1,0,0,0,Batsman,0.3,Retained
A Raghuvanshi (KKR),KKR,20,India,300,33.33,139.53,0,1,0,0,0,Batsman,3.0,Retained
A Taide (SRH),SRH,24,Sri Lanka,13,13,144.44,0,0,0,0,0,Batsman,N/A,Unsold
A Zampa (SRH),SRH,33,Australia,0,0,0,0,0,2,47,11.75,Bowler,N/A,N/A
AD Russell (KKR),KKR,36,India,167,18.55,163.72,0,1,8,27.12,11.94,All-Rounder,N/A,N/A
AK Markram (LSG),LSG,30,South Africa,445,34.23,148.82,0,5,4,25.5,9.27,Batsman,2.0,Retained
AM Rahane (KKR),KKR,36,India,390,35.45,147.72,0,3,0,0,0,Batsman,1.5,Retained
AR Patel (DC),DC,31,India,263,26.3,157.48,0,0,5,57.6,8.47,All-Rounder,16.5,Retained
AR Sharma (DC),DC,26,South Africa,204,29.14,160.62,0,1,0,0,0,Batsman,3.8,Retained
AS Roy (KKR),KKR,26,India,0,0,0,0,0,1,27,6.75,Bowler,0.4,Retained
AU Verma (SRH),SRH,23,India,236,26.22,166.19,0,1,0,0,0,Batsman,0.3,Retained
Abdul Samad (LSG),LSG,23,Australia,164,20.5,176.34,0,0,0,0,0,Batsman,4.2,Retained
Abhishek Sharma (SRH),SRH,24,India,439,33.76,193.39,1,2,0,0,0,Batsman,14.0,Retained
Abishek Porel (DC),DC,22,India,301,25.08,146.82,0,1,0,0,0,Wicketkeeper,4.0,Retained
Akash Deep (LSG),LSG,28,India,6,6,300,0,0,3,76.33,12.05,Bowler,1.0,Bought
Akash Singh (LSG),LSG,22,India,0,0,0,0,0,4,24.75,8.86,Bowler,0.3,Retained
Arshad Khan (GT),GT,27,India,23,11.5,121.05,0,0,6,36.16,10.33,Bowler,1.3,Retained
Arshdeep Singh (PBKS),PBKS,26,India,2,2,33.33,0,0,21,24.66,8.88,Bowler,18.0,Retained
Ashwani Kumar (MI),MI,23,India,0,0,0,0,0,11,21.09,11.31,Bowler,0.3,Retained
Avesh Khan (LSG),LSG,28,South Africa,21,21,175,0,0,13,37.46,10.28,Bowler,9.8,Retained
Azmatullah Omarzai (PBKS),PBKS,25,Australia,57,14.25,139.02,0,0,8,34.87,10.33,Bowler,2.4,Retained
B Kumar (RCB),RCB,35,Australia,14,4.66,56,0,0,17,28.41,9.28,Bowler,10.8,Retained
B Sai Sudharsan (GT),GT,23,India,759,54.21,156.17,1,6,0,0,0,Batsman,8.5,Retained
BKG Mendis (GT),GT,30,South Africa,20,20,200,0,0,0,0,0,Batsman,0.8,Retained
C Bosch (MI),MI,30,India,47,23.5,146.87,0,0,1,55,7.85,Bowler,0.8,Retained
CV Varun (KKR),KKR,33,India,1,-,100,0,0,17,22.52,7.66,Bowler,12.0,Retained
D Brevis (CSK),CSK,21,South Africa,225,37.5,180,0,2,0,0,0,Batsman,2.2,Retained
D Padikkal (RCB),RCB,24,India,247,27.44,150.6,0,2,0,0,0,Batsman,2.0,Retained
DA Miller (LSG),LSG,35,South Africa,153,30.6,127.5,0,0,0,0,0,Wicketkeeper,2.0,Bought
DC Jurel (RR),RR,24,India,333,37,156.33,0,2,0,0,0,Wicketkeeper,14.0,Retained
DJ Hooda (CSK),CSK,29,Sri Lanka,31,6.2,75.6,0,0,0,0,0,Batsman,N/A,Unsold
DL Chahar (MI),MI,32,India,37,37,148,0,0,11,34.18,9.17,Bowler,9.2,Retained
DP Conway (CSK),CSK,33,South Africa,156,26,131.09,0,2,0,0,0,Wicketkeeper,N/A,Unsold
DS Rathi (LSG),LSG,25,India,0,0,0,0,0,14,30.64,8.25,Bowler,0.3,Retained
E Malinga (SRH),SRH,24,Sri Lanka,0,0,0,0,0,13,18.3,8.92,Bowler,1.2,Retained
F du Plessis (DC),DC,40,India,202,22.44,123.92,0,2,0,0,0,Batsman,N/A,N/A
Fazalhaq Farooqi (RR),RR,24,Australia,2,-,100,0,0,0,0,0,Batsman,N/A,Unsold
G Coetzee (GT),GT,24,Australia,17,8.5,154.54,0,0,2,65.5,10.91,Bowler,N/A,Replacement
GJ Maxwell (PBKS),PBKS,36,India,48,8,97.95,0,0,4,27.5,8.46,Bowler,N/A,N/A
H Klaasen (SRH),SRH,33,South Africa,487,44.27,172.69,1,1,0,0,0,Wicketkeeper,23.0,Retained
HH Pandya (MI),MI,31,India,224,24.88,163.5,0,0,14,24.42,9.77,All-Rounder,16.4,Retained
HS Dubey (SRH),SRH,22,India,0,0,0,0,0,5,19.6,9.8,Bowler,0.3,Retained
HV Patel (SRH),SRH,34,England,21,10.5,80.76,0,0,16,26.87,9.8,Bowler,8.0,Retained
Harpreet Brar (PBKS),PBKS,29,India,11,11,84.61,0,0,10,19,8.63,Bowler,1.5,Retained
Harshit Rana (KKR),KKR,23,South Africa,57,14.25,107.54,0,0,15,29.86,10.18,Bowler,4.0,Retained
I Sharma (GT),GT,36,India,0,0,0,0,0,4,51.25,11.18,Bowler,0.8,Retained
Ishan Kishan (SRH),SRH,26,India,354,35.4,152.58,1,1,0,0,0,Wicketkeeper,11.2,Retained
J Fraser-McGurk (DC),DC,22,India,55,9.16,105.76,0,0,0,0,0,Batsman,N/A,Unsold
J Overton (CSK),CSK,30,India,15,-,214.28,0,0,0,0,0,Batsman,1.5,Retained
JC Archer (RR),RR,30,Australia,63,10.5,126,0,0,11,39.18,9.47,Bowler,12.5,Retained
JC Buttler (GT),GT,34,England,538,59.77,163.03,0,5,0,0,0,Wicketkeeper,15.8,Retained
JD Unadkat (SRH),SRH,33,India,0,0,0,0,0,11,15.9,7.34,Bowler,1.0,Retained
JG Bethell (RCB),RCB,21,India,67,33.5,171.79,0,1,0,0,0,Batsman,2.6,Retained
JJ Bumrah (MI),MI,31,India,0,0,0,0,0,18,17.55,6.67,Bowler,18.0,Retained
JM Bairstow (MI),MI,35,West Indies,85,42.5,184.78,0,0,0,0,0,Wicketkeeper,N/A,Unsold
JM Sharma (RCB),RCB,31,India,261,37.28,176.35,0,1,0,0,0,Wicketkeeper,11.0,Retained
JP Inglis (PBKS),PBKS,30,Australia,278,30.88,162.57,0,1,0,0,0,Wicketkeeper,8.6,Bought
JR Hazlewood (RCB),RCB,34,Australia,0,0,0,0,0,22,17.54,8.77,Bowler,12.5,Retained
K Kartikeya (RR),RR,27,Afghanistan,3,1.5,60,0,0,2,39,9.75,Bowler,N/A,Unsold
K Khejroliya (GT),GT,33,India,0,0,0,0,0,1,29,9.66,Bowler,N/A,Unsold
K Nitish Kumar Reddy (SRH),SRH,21,India,182,22.75,118.95,0,0,2,23.5,9.4,Batsman,6.0,Retained
K Rabada (GT),GT,29,India,9,9,112.5,0,0,2,81,11.57,Bowler,10.8,Retained
KA Jamieson (PBKS),PBKS,30,New Zealand,0,0,0,0,0,5,29.4,9.8,Bowler,2.0,Bought
KH Pandya (RCB),RCB,34,India,109,18.16,126.74,0,1,17,22.29,8.23,All-Rounder,5.8,Retained
KK Ahmed (CSK),CSK,27,India,0,0,0,0,0,15,29.8,9.57,Bowler,4.8,Retained
KK Nair (DC),DC,33,India,198,24.75,172.17,0,1,0,0,0,Batsman,0.5,Retained
KL Rahul (DC),DC,32,India,539,53.9,149.72,1,3,0,0,0,Wicketkeeper,14.0,Retained
KT Maphaka (RR),RR,18,India,8,-,400,0,0,1,54,10.8,Bowler,1.5,Retained
KV Sharma (MI),MI,37,India,1,-,100,0,0,7,18.28,8.53,Bowler,16.3,Retained
Kuldeep Yadav (DC),DC,30,India,18,6,112.5,0,0,15,24.06,7.07,Bowler,13.2,Retained
L Ngidi (RCB),RCB,29,South Africa,0,0,0,0,0,4,20.25,10.12,Bowler,2.0,Bought
LH Ferguson (PBKS),PBKS,33,Australia,4,-,400,0,0,5,20.8,9.17,Bowler,2.0,Retained
LS Livingstone (RCB),RCB,31,Australia,112,16,133.33,0,1,2,38,8.44,Batsman,13.0,Bought
M Jansen (PBKS),PBKS,24,India,75,18.75,119.04,0,0,16,27.12,9.2,Bowler,7.0,Retained
M Pathirana (CSK),CSK,22,Sri Lanka,0,0,0,0,0,13,32.61,10.13,Bowler,18.0,Bought
M Prasidh Krishna (GT),GT,29,India,0,0,0,0,0,25,19.52,8.27,Bowler,9.5,Retained
M Shahrukh Khan (GT),GT,29,West Indies,179,29.83,179,0,1,0,0,0,Batsman,4.0,Retained
