Player,Role,PlayerValueScore,AuctionPrice,AcquisitionType
M Prasidh Krishna (GT),Bowler,100.0,9.5,Retained
Noor Ahmad (CSK),Bowler,99.7,10.0,Retained
JJ Bumrah (MI),Bowler,97.4,18.0,Retained
B Sai Sudharsan (GT),Batsman,94.3,8.5,Retained
JR Hazlewood (RCB),Bowler,93.1,12.5,Retained
TA Boult (MI),Bowler,90.5,12.5,Retained
CV Varun (KKR),Bowler,89.3,12.0,Retained
Arshdeep Singh (PBKS),Bowler,88.9,18.0,Retained
Kuldeep Yadav (DC),Bowler,88.6,13.2,Retained
MR Marsh (LSG),Batsman,86.7,3.4,Retained
SA Yadav (MI),Batsman,85.2,16.4,Retained
R Sai Kishore (GT),Bowler,85.0,2.0,Retained
JD Unadkat (SRH),Bowler,83.1,1.0,Retained
B Kumar (RCB),Bowler,79.3,10.8,Retained
DS Rathi (LSG),Bowler,79.1,0.3,Retained
V Kohli (RCB),Batsman,79.0,21.0,Retained
PJ Cummins (SRH),Bowler,78.9,18.0,Retained
M Jansen (PBKS),Bowler,78.5,7.0,Retained
KL Rahul (DC),Wicketkeeper,77.7,14.0,Retained
E Malinga (SRH),Bowler,77.5,1.2,Retained
SS Iyer (PBKS),Batsman,76.9,26.8,Retained
YS Chahal (PBKS),Bowler,76.7,18.0,Retained
Mohammed Siraj (GT),Bowler,76.6,12.2,Retained
Shubman Gill (GT),Batsman,76.1,16.5,Retained
VG Arora (KKR),Bowler,75.9,1.8,Retained
HV Patel (SRH),Bowler,75.4,8.0,Retained
KK Ahmed (CSK),Bowler,74.2,4.8,Retained
MJ Santner (MI),Bowler,74.1,2.0,Retained
Harpreet Brar (PBKS),Bowler,73.9,1.5,Retained
JC Buttler (GT),Wicketkeeper,73.4,15.8,Retained
A Kamboj (CSK),Bowler,73.2,3.4,Retained
H Klaasen (SRH),Wicketkeeper,72.6,23.0,Retained
N Pooran (LSG),Wicketkeeper,72.5,21.0,Retained
Abhishek Sharma (SRH),Batsman,71.2,14.0,Retained
Harshit Rana (KKR),Bowler,71.0,4.0,Retained
