Player,BaseValue,MI_Value,CSK_Value,RCB_Value,RR_Value,KKR_Value,GT_Value,LSG_Value,PBKS_Value,DC_Value,SRH_Value
M Prasidh Krishna (GT),100.0,100.0,110.0,100.0,100.0,115.0,100.0,100.0,100.0,100.0,100.0
Noor Ahmad (CSK),99.7,114.66,99.7,99.7,119.64,114.66,99.7,99.7,99.7,119.64,99.7
JJ Bumrah (MI),97.4,97.4,121.75,97.4,97.4,112.01,97.4,97.4,97.4,97.4,97.4
B Sai Sudharsan (GT),94.3,127.31,103.73,117.88,122.59,94.3,94.3,94.3,117.88,113.16,117.88
JR Hazlewood (RCB),93.1,93.1,107.06,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1
TA Boult (MI),90.5,90.5,113.12,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5
CV Varun (KKR),89.3,89.3,111.62,89.3,89.3,102.69,89.3,89.3,89.3,89.3,89.3
Arshdeep Singh (PBKS),88.9,88.9,97.79,88.9,88.9,88.9,88.9,88.9,88.9,97.79,88.9
Kuldeep Yadav (DC),88.6,88.6,110.75,88.6,88.6,101.89,88.6,88.6,88.6,88.6,88.6
MR Marsh (LSG),86.7,95.37,99.7,108.38,86.7,86.7,86.7,86.7,108.38,86.7,108.38
SA Yadav (MI),85.2,93.72,106.5,106.5,85.2,85.2,85.2,85.2,106.5,85.2,106.5
R Sai Kishore (GT),85.0,85.0,93.5,85.0,85.0,85.0,85.0,85.0,85.0,93.5,85.0
JD Unadkat (SRH),83.1,83.1,103.88,83.1,83.1,95.56,83.1,83.1,83.1,83.1,83.1
B Kumar (RCB),79.3,79.3,91.19,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3
DS Rathi (LSG),79.1,90.96,87.01,79.1,79.1,90.96,79.1,79.1,79.1,94.92,79.1
V Kohli (RCB),79.0,79.0,98.75,86.9,79.0,79.0,79.0,79.0,86.9,79.0,86.9
PJ Cummins (SRH),78.9,78.9,90.73,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9
M Jansen (PBKS),78.5,90.27,86.35,78.5,78.5,78.5,78.5,78.5,78.5,94.2,78.5
KL Rahul (DC),77.7,85.47,97.12,85.47,77.7,77.7,77.7,93.24,85.47,77.7,85.47
E Malinga (SRH),77.5,89.12,77.5,77.5,77.5,77.5,77.5,77.5,77.5,93.0,77.5
SS Iyer (PBKS),76.9,84.59,96.12,96.12,76.9,76.9,76.9,76.9,96.12,76.9,96.12
YS Chahal (PBKS),76.7,76.7,95.88,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7
Mohammed Siraj (GT),76.6,76.6,95.75,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6
Shubman Gill (GT),76.1,95.12,83.71,95.12,76.1,76.1,76.1,76.1,95.12,91.32,95.12
VG Arora (KKR),75.9,75.9,83.49,75.9,75.9,75.9,75.9,75.9,75.9,83.49,75.9
HV Patel (SRH),75.4,75.4,86.71,75.4,75.4,75.4,75.4,75.4,75.4,75.4,75.4
KK Ahmed (CSK),74.2,74.2,81.62,74.2,74.2,74.2,74.2,74.2,74.2,81.62,74.2
MJ Santner (MI),74.1,74.1,85.21,74.1,74.1,85.21,74.1,74.1,74.1,74.1,74.1
Harpreet Brar (PBKS),73.9,73.9,81.29,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9
JC Buttler (GT),73.4,80.74,84.41,91.75,73.4,73.4,73.4,88.08,91.75,73.4,91.75
A Kamboj (CSK),73.2,84.18,80.52,73.2,73.2,84.18,73.2,73.2,73.2,87.84,73.2
H Klaasen (SRH),72.6,79.86,83.49,90.75,72.6,72.6,72.6,87.12,90.75,72.6,90.75
N Pooran (LSG),72.5,79.75,72.5,90.62,72.5,72.5,72.5,87.0,90.62,72.5,90.62
Abhishek Sharma (SRH),71.2,89.0,78.32,89.0,71.2,71.2,71.2,71.2,89.0,85.44,89.0
Harshit Rana (KKR),71.0,81.65,71.0,71.0,85.2,71.0,71.0,71.0,71.0,85.2,71.0
MA Starc (DC),70.6,70.6,88.25,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6
KV Sharma (MI),69.8,69.8,87.25,69.8,69.8,69.8,69.8,69.8,69.8,69.8,69.8
YBK Jaiswal (RR),69.6,93.96,76.56,87.0,90.48,69.6,69.6,69.6,87.0,83.52,87.0
PW Hasaranga (RR),69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,76.23,69.3
Yash Dayal (RCB),69.0,69.0,75.9,69.0,69.0,69.0,69.0,69.0,69.0,75.9,69.0
P Arya (PBKS),68.8,86.0,75.68,86.0,68.8,68.8,68.8,68.8,86.0,82.56,86.0
DL Chahar (MI),68.5,68.5,85.62,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5
N Thushara (RCB),68.3,68.3,78.54,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3
M Pathirana (CSK),67.2,77.28,67.2,67.2,80.64,67.2,67.2,67.2,67.2,80.64,67.2
Mustafizur Rahman (DC),67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2
MM Ali (KKR),67.1,67.1,77.16,67.1,67.1,77.16,67.1,67.1,67.1,67.1,67.1
AS Roy (KKR),66.7,66.7,73.37,66.7,66.7,66.7,66.7,66.7,66.7,73.37,66.7
